,arduino_angle,actual_angle
0,0,-27
1,10,-21.92683424
2,20,-30
3,30,-37.19799592
4,40,-40
5,50,-40.91317935
6,60,-44
7,70,-50.50288723
8,80,-57
9,90,-59.89286685
10,100,-60
11,110,-61.09174592
12,120,-66
13,130,-72.63464674
14,140,-70
15,150,
